174     | 154.53.224.166   | 154.48.0.0/12       | US | arin     |            | COGENT-174 - Cogent Communications, US
13335   | 104.16.121.127   | 104.16.0.0/12       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.16.14.104    | 104.16.0.0/20       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.16.18.13     | 104.16.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.16.25.35     | 104.16.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.16.255.64    | 104.16.240.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.16.46.136    | 104.16.0.0/12       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.16.55.15     | 104.16.0.0/12       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.16.57.23     | 104.16.0.0/12       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.16.64.178    | 104.16.0.0/12       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.16.68.153    | 104.16.0.0/12       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.18.41.167    | 104.18.32.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.19.142.70    | 104.19.128.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.19.206.29    | 104.19.192.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.20.20.247    | 104.20.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.20.2.139     | 104.20.0.0/20       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.20.23.247    | 104.20.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.20.24.135    | 104.20.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.20.24.90     | 104.20.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.20.30.112    | 104.20.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.20.36.56     | 104.16.0.0/12       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.20.59.241    | 104.16.0.0/12       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.20.78.29     | 104.16.0.0/12       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.20.92.127    | 104.16.0.0/12       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.23.197.8     | 104.23.192.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.24.2.15      | 104.16.0.0/12       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.25.175.27    | 104.16.0.0/12       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.25.25.15     | 104.16.0.0/12       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.31.73.239    | 104.31.64.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 198.41.208.140   | 198.41.208.0/23     | US | arin     | 2012-10-09 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 2400:cb00:2048:1::6810:2802              | 2400:cb00:2048::/48 | US | apnic    | 2011-05-13 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 2400:cb00:2048:1::6810:345d              | 2400:cb00:2048::/48 | US | apnic    | 2011-05-13 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 2400:cb00:2048:1::6810:390f              | 2400:cb00:2048::/48 | US | apnic    | 2011-05-13 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 2400:cb00:2048:1::6810:55ca              | 2400:cb00:2048::/48 | US | apnic    | 2011-05-13 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 2400:cb00:2048:1::6810:74a5              | 2400:cb00:2048::/48 | US | apnic    | 2011-05-13 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 2400:cb00:2048:1::6810:776c              | 2400:cb00:2048::/48 | US | apnic    | 2011-05-13 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 2400:cb00:2048:1::6814:104               | 2400:cb00:2048::/48 | US | apnic    | 2011-05-13 | CLOUDFLARENET - CloudFlare, Inc., US
